gender,year,month,day,school,height,pheight,mheight,math,class,games,exercise,TV,weather,hand,computer,vote,GPA_HS,sit,drink,caffeine,sleep,games_hours,friends,morning,commute,distance,GPA_UW,Exam1,gamble1,sport,color,temperature,siblings,birth_order,gamble,prob1,superpower,introvert,pref_age,commute2,age
Female,1997,April,1,Outside of the US,66,70,64,A fair amount,A fair amount,Not at all,Just a little,A fair amount,Very much,Right,Apple,I never (or can't) vote,4,In the middle,1,6,8,0.5,60,An evening person,walk,2,3.3,90,No,None of the above,Yellow,76,0,1,Yes,1/2,Invisibility,neutral,20,walk,20.8333
Female,1997,July,7,In the US but outside of Washington State,62,67,63,Not at all,Just a little,Very much,A fair amount,A fair amount,Just a little,Right,PC,Democrat,3.5,In the middle,0,1,8,2,20,An evening person,walk,0.3,3.5,80,No,American Football,Blue,65,1,1,No,1/32,Flight,agree,21,dorm,20.5833
Female,1997,November,6,Outside of the US,63,68,61,Not at all,Just a little,A fair amount,A fair amount,Very much,A fair amount,Right,Apple,I never (or can't) vote,3.7,In the middle,2,0,,1,0,An evening person,drive,15,3.3,80,Yes,None of the above,Pink,80,0,1,Yes,1/4,Invisibility,strongly disagree,19,drive,20.25
Female,1995,May,16,In Washington State,64,68,64,A fair amount,A fair amount,Very much,Just a little,Very much,A fair amount,Right,PC,I never (or can't) vote,3.5,Toward the back,1,1,8,2,290,An evening person,walk,0.5,2.33,80,Yes,American Football,Blue,75,1,1,Yes,1/2,Invisibility,agree,25,dorm,22.75
Female,1996,August,15,In Washington State,65,67,61,Just a little,A fair amount,A fair amount,Just a little,A fair amount,Just a little,Left,Apple,Democrat,3.5,In the middle,3,0.5,8,0,908,An evening person,bus,16,2.5,99,Yes,None of the above,Red,70,3,4,Yes,1/2,Invisibility,agree,22,drive,21.5
Female,1989,April,25,In the US but outside of Washington State,63,,65,Not at all,Not at all,A fair amount,Just a little,Not at all,Just a little,Right,Other,Other,3.8,Near the front,0,1,5,2,150,An evening person,bus,30,3.2,72,No,None of the above,Purple,75,2,2,No,1/2,Invisibility,agree,24,drive,28.8333
Male,1993,December,30,In Washington State,55,54,52,Not at all,Just a little,Very much,Not at all,Just a little,Just a little,Right,PC,Democrat,3.75,In the middle,12,12,7,4,487,An evening person,bus,2.2,2.68,84,Yes,Basketball,Red,75,6,7,Yes,1/2,Invisibility,agree,27,walk,24.1667
Female,1997,March,4,In Washington State,66,72,65,A fair amount,A fair amount,Not at all,Very much,A fair amount,Very much,Right,PC,Democrat,3.9,Toward the back,10,1,6,0,1170,An evening person,bus,40,3.3,95,No,American Football,Pink,85,3,3,Yes,1/2,Invisibility,neutral,21,drive,20.9167
Female,1996,January,14,In Washington State,65,,63,Not at all,Just a little,Very much,Just a little,Just a little,Just a little,Right,PC,I never (or can't) vote,2.8,In the middle,0,3,6,2,1052,An evening person,drive,11,2.7,82,Yes,American Football,Purple,70,4,1,Yes,1/2,Flight,neutral,21,drive,22.0833
Male,1994,May,30,In the US but outside of Washington State,72,67,68,Just a little,Just a little,Very much,Very much,Just a little,A fair amount,Right,Apple,Other,3.3,Toward the back,0,0,7.5,2,472,Neither,walk,1,3.2,90,Yes,None of the above,Blue,72,0,1,Yes,1/2,Flight,disagree,23,walk,23.75
Female,1997,June,3,In Washington State,61,,63,Just a little,Just a little,Just a little,Just a little,Very much,Very much,Right,Apple,Democrat,3.5,In the middle,4,2,6,0,925,Neither,bus,,2.8,70,Yes,None of the above,Red,80,3,2,No,1/16,Invisibility,agree,21,walk,20.6667
Female,1996,October,14,In Washington State,63,70,61,Just a little,A fair amount,Just a little,A fair amount,Just a little,,Left,Apple,Democrat,3.8,In the middle,0,0,7,0,678,Neither,walk,52.3,2.94,85,No,American Football,Purple,75,1,1,No,1/2,Flight,disagree,21,walk,21.3333
Female,1997,January,17,Outside of the US,60,72,60,Not at all,A fair amount,Not at all,A fair amount,Very much,Very much,Right,Apple,I never (or can't) vote,3.8,In the middle,0.5,5,7.5,0,220,Neither,bus,1,3.7,98,No,None of the above,Pink,80,0,1,No,1/2,,neutral,18,walk,21.0833
